Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp,Keywords,RelevanceScore,KeywordClusters,RefinedKeywordClusters,AllClusters,DominantCluster,Area
VAST,2006,Pixnostics: Towards Measuring the Value of Visualization,10.1109/vast.2006.261423,http://dx.doi.org/10.1109/VAST.2006.261423,199.0,206.0,C,"During the last two decades a wide variety of advanced methods for the visual exploration of large data sets have been proposed. For most of these techniques user interaction has become a crucial element, since there are many situations in which a user or an analyst has to select the right parameter settings from among many or select a subset of the available attribute space for the visualization process, in order to construct valuable visualizations that provide insight, into the data and reveal interesting patterns. The right choice of input parameters is often essential, since suboptimal parameter settings or the investigation of irrelevant data dimensions make the exploration process more time consuming and may result in wrong conclusions. In this paper we propose a novel method for automatically determining meaningful parameter- and attribute settings based on the information content of the resulting visualizations. Our technique called Pixnostics, in analogy to Scagnostics (Wilkinson et al., 2005), automatically analyses pixel images resulting from diverse parameter mappings and ranks them according to the potential value for the user. This allows a more effective and more efficient visual data analysis process, since the attribute/parameter space is reduced to meaningful selections and thus the analyst obtains faster insight into the data. Real world applications are provided to show the benefit of the proposed approach",Jörn Schneidewind;Mike Sips;Daniel A. Keim,Jorn Schneidewind;Mike Sips;Daniel A. Keim,"University of Konstanz, Germany;University of Stanford, USA;University of Konstanz, Germany",10.1109/infvis.2005.1532145;10.1109/infvis.2005.1532142;10.1109/visual.2005.1532782;10.1109/visual.2005.1532781;10.1109/infvis.2000.885092;10.1109/infvis.2005.1532145,"Visual Data Exploration, Visualization technique,Visual Analytics",63.0,35.0,24.0,684.0,,,construct valuable visualizations;parameter attribute settings;called pixnostics;select subset;2005 automatically,0.6616;0.2800;0.2359;0.1310;0.0510,"[np.int64(-1), -1, -1, -1, -1]",102;-1;-1;-1;-1,102,102,Visualization Value Assessment
VAST,2015,Interactive semi-automatic categorization for spinel group minerals,10.1109/vast.2015.7347676,http://dx.doi.org/10.1109/VAST.2015.7347676,197.0,198.0,M,"Spinel group minerals are excellent indicators of geological environments (tectonic settings). In 2001, Barnes and Roeder defined a set of contours corresponding to compositional fields for spinel group minerals. Geologists typically use this contours to estimate the tectonic environment where a particular spinel composition could have been formed. This task is prone to errors and requires tedious manual comparison of overlapping diagrams. We introduce a semi-automatic, interactive detection of tectonic settings for an arbitrary dataset based on the Barnes and Roeder contours. The new approach integrates the mentioned contours and includes a novel interaction called contour brush. The new methodology is integrated in the Spinel Explorer system and it improves the scientist's workflow significantly.",Maria Luján Ganuza;Maria Florencia Gargiulo;Gabriela Ferracutti;Silvia Mabel Castro;Ernesto A. Bjerg;M. Eduard Gröller;Kresimir Matkovic,María Luján Ganuza;Florencia Gargiulo;Gabriela Ferracutti;Silvia Castro;Ernesto Bjerg;Eduard Gröller;Krešimir Matković,"UNS, VyGLab;INGEOSUR CONICET;INGEOSUR CONICET;UNS, VyGLab;INGEOSUR CONICET;TU Wien;VRVis",0.1109/tvcg.2014.2346754,,5.0,2.0,5.0,106.0,,,interactive detection tectonic;compositional fields spinel;settings arbitrary dataset;group;prone errors,0.6692;0.3364;0.1164;0.0436;0.0330,"[np.int64(-1), -1, -1, -1, -1]",72;-1;-1;-1;-1,72,72,Ridge Extraction Techniques
Vis,1994,Visualization in medicine: VIRTUAL reality or ACTUAL reality ?,10.1109/visual.1994.346288,http://dx.doi.org/10.1109/VISUAL.1994.346288,396.0,399.0,M,Discusses and debates the role played by 3D visualization in medicine as a set of methods and techniques for displaying 3D spatial information related to the anatomy and the physiology of the human body.&lt;&lt;ETX&gt;&gt;,Christian Roux;Jean-Louis Coatrieux;Jean-Louis Dillenseger;Elliot K. Fishman;Murray H. Loew;Hans-Peter Meinzer;Justin D. Pearlman,C. Roux;J.L. Coatrieux;J.-L. Dillenseger;E.K. Fishman;M. Loew;H.-P. Meinzer;J.D. Pearlman,"Département Image et Traitement de l'Information, Ecole Nationale Supérieure des TéIécommunications, Brest, France;Labratoire Tiaitement du Signal et de l'Image, Université de Rennes 1, Rennes, France;University of Rennes I, France;Johns Hopkins School of Medicine, USA;Washington University, USA;German Cancer Center Heidelberg, Germany;Harvard Medical School, USA",,,3.0,1.0,3.0,96.0,,,3d visualization medicine;body;methods techniques displaying;lt etx;debates role,0.8177;0.2443;0.2170;0.0906;0.0320,"[np.int64(-1), -1, -1, -1, -1]",38;-1;-1;-1;-1,38,38,3D Medical Visualization
InfoVis,2014,Attribute Signatures: Dynamic Visual Summaries for Analyzing Multivariate Geographical Data,10.1109/tvcg.2014.2346265,http://dx.doi.org/10.1109/TVCG.2014.2346265,2033.0,2042.0,J,"The visual analysis of geographically referenced datasets with a large number of attributes is challenging due to the fact that the characteristics of the attributes are highly dependent upon the locations at which they are focussed, and the scale and time at which they are measured. Specialized interactive visual methods are required to help analysts in understanding the characteristics of the attributes when these multiple aspects are considered concurrently. Here, we develop attribute signatures-interactively crafted graphics that show the geographic variability of statistics of attributes through which the extent of dependency between the attributes and geography can be visually explored. We compute a number of statistical measures, which can also account for variations in time and scale, and use them as a basis for our visualizations. We then employ different graphical configurations to show and compare both continuous and discrete variation of location and scale. Our methods allow variation in multiple statistical summaries of multiple attributes to be considered concurrently and geographically, as evidenced by examples in which the census geography of London and the wider UK are explored.",Cagatay Turkay;Aidan Slingsby;Helwig Hauser;Jo Wood;Jason Dykes,Cagatay Turkay;Aidan Slingsby;Helwig Hauser;Jo Wood;Jason Dykes,"Dep. of Computer Science at City University London, UK;Dep. of Computer Science at City University London, UK;Department of Informatics at University of Bergen, Bergen, Norway;Dep. of Computer Science at City University London, UK;Dep. of Computer Science at City University London, UK",10.1109/tvcg.2013.173;10.1109/tvcg.2011.178;10.1109/tvcg.2013.226;10.1109/tvcg.2011.197;10.1109/tvcg.2007.70558;10.1109/tvcg.2008.149;10.1109/infvis.2004.12;10.1109/tvcg.2012.256;10.1109/tvcg.2007.70574;10.1109/vast.2008.4677350;10.1109/tvcg.2008.125;10.1109/tvcg.2013.122;10.1109/tvcg.2013.173,"Visual analytics, multi-variate data, geographic information, geovisualization, interactive data analysis",65.0,39.0,54.0,1343.0,,,visual analysis geographically;statistical measures account;referenced datasets large;concurrently develop attribute;different,0.7344;0.2434;0.2329;0.1353;0.0790,"[np.int64(-1), -1, -1, -1, -1]",89;-1;-1;-1;-1,89,89,Geographical Visualization
SciVis,2020,Polyphorm: Structural Analysis of Cosmological Datasets via Interactive Physarum Polycephalum Visualization,10.1109/tvcg.2020.3030407,http://dx.doi.org/10.1109/TVCG.2020.3030407,806.0,816.0,J,"This paper introduces Polyphorm, an interactive visualization and model fitting tool that provides a novel approach for investigating cosmological datasets. Through a fast computational simulation method inspired by the behavior of Physarum polycephalum, an unicellular slime mold organism that efficiently forages for nutrients, astrophysicists are able to extrapolate from sparse datasets, such as galaxy maps archived in the Sloan Digital Sky Survey, and then use these extrapolations to inform analyses of a wide range of other data, such as spectroscopic observations captured by the Hubble Space Telescope. Researchers can interactively update the simulation by adjusting model parameters, and then investigate the resulting visual output to form hypotheses about the data. We describe details of Polyphorm's simulation model and its interaction and visualization modalities, and we evaluate Polyphorm through three scientific use cases that demonstrate the effectiveness of our approach.",Oskar Elek;Joseph N. Burchett;J. Xavier Prochaska;Angus G. Forbes,Oskar Elek;Joseph N. Burchett;J. Xavier Prochaska;Angus G. Forbes,"Dept. of Computational Media, University of California, Santa Cruz;Dept. of Astronomy and Astrophysics, University of California, Santa Cruz;Dept. of Astronomy and Astrophysics, University of California, Santa Cruz;Dept. of Computational Media, University of California, Santa Cruz",10.1109/tvcg.2019.2934259;10.1109/tvcg.2019.2934259,"Astrophysics visualization,agent-based modeling,intergalactic media,Physarum polycephalum,Cosmic Web",13.0,10.0,79.0,530.0,,,investigating cosmological datasets;polyphorm interactive visualization;mold organism efficiently;interactively update;cases,0.6864;0.4737;0.2242;0.0722;-0.0446,"[np.int64(-1), -1, -1, -1, -1]",10;-1;-1;-1;-1,10,10,Cosmological Research
VAST,2017,Clustering Trajectories by Relevant Parts for Air Traffic Analysis,10.1109/tvcg.2017.2744322,http://dx.doi.org/10.1109/TVCG.2017.2744322,34.0,44.0,J,"Clustering of trajectories of moving objects by similarity is an important technique in movement analysis. Existing distance functions assess the similarity between trajectories based on properties of the trajectory points or segments. The properties may include the spatial positions, times, and thematic attributes. There may be a need to focus the analysis on certain parts of trajectories, i.e., points and segments that have particular properties. According to the analysis focus, the analyst may need to cluster trajectories by similarity of their relevant parts only. Throughout the analysis process, the focus may change, and different parts of trajectories may become relevant. We propose an analytical workflow in which interactive filtering tools are used to attach relevance flags to elements of trajectories, clustering is done using a distance function that ignores irrelevant elements, and the resulting clusters are summarized for further analysis. We demonstrate how this workflow can be useful for different analysis tasks in three case studies with real data from the domain of air traffic. We propose a suite of generic techniques and visualization guidelines to support movement data analysis by means of relevance-aware trajectory clustering.",Gennady L. Andrienko;Natalia V. Andrienko;Georg Fuchs;Jose Manuel Cordero Garcia,Gennady Andrienko;Natalia Andrienko;Georg Fuchs;Jose Manuel Cordero Garcia,"Fraunhofer IAIS, City University, London;Fraunhofer IAIS, City University, London;Fraunhofer Institute IAIS;CRIDA (Reference Center for Research, Development and Innovation in ATM)",10.1109/vast.2009.5332584;10.1109/tvcg.2013.193;10.1109/tvcg.2011.233;10.1109/tvcg.2015.2468292;10.1109/vast.2008.4677350;10.1109/vast.2009.5332584,"Visual analytics,movement data analysis,trajectory clustering,air traffic",90.0,62.0,53.0,2561.0,,,trajectories clustering using;important technique movement;relevance flags;workflow interactive;air,0.7251;0.2497;0.1665;0.1544;0.1401,"[np.int64(-1), -1, -1, -1, -1]",6;-1;-1;-1;-1,6,6,Geospatial Data Analysis
Vis,1996,Volume Thinning for Automatic Isosurface Propagation,10.1109/visual.1996.568123,http://doi.ieeecomputersociety.org/10.1109/VISUAL.1996.568123,303.0,310.0,C,"An isosurface can be efficiently generated by visiting adjacent intersected cells in order, as if the isosurface were propagating itself. We previously proposed an extrema graph method (T. Itoh and K. Koyamada, 1995), which generates a graph connecting extremum points. The isosurface propagation starts from some of the intersected cells that are found both by visiting the cells through which arcs of the graph pass and by visiting the cells on the boundary of a volume. We propose an efficient method of searching for cells intersected by an isosurface. This method generates a volumetric skeleton. consisting of cells, like an extrema graph, by applying a thinning algorithm used in the image recognition area. Since it preserves the topological features of the volume and the connectivity of the extremum points, it necessarily intersects every isosurface. The method is more efficient than the extrema graph method, since it does not require that cells on the boundary be visited.",Takayuki Itoh;Yasushi Yamaguchi 0001;Koji Koyamada,T. Itoh;Y. Yamaguchi;K. Koyamada,"Tokyo Research Laboratory, IBM Japan;Graduate School of Arts and Sciences, The University of Tokyo;Tokyo Research Laboratory, IBM Japan",10.1109/visual.1991.175780,,73.0,22.0,0.0,28.0,,,cells order isosurface;recognition area preserves;generates graph connecting;volume;method searching,0.5701;0.4382;0.3050;0.2427;0.2146,"[np.int64(-1), -1, -1, -1, -1]",126;-1;-1;-1;-1,126,126,Geometric Mesh Processing
Vis,2008,Sinus Endoscopy - Application of Advanced GPU Volume Rendering for Virtual Endoscopy,10.1109/tvcg.2008.161,http://dx.doi.org/10.1109/TVCG.2008.161,1491.0,1498.0,J,"For difficult cases in endoscopic sinus surgery, a careful planning of the intervention is necessary. Due to the reduced field of view during the intervention, the surgeons have less information about the surrounding structures in the working area compared to open surgery. Virtual endoscopy enables the visualization of the operating field and additional information, such as risk structures (e.g., optical nerve and skull base) and target structures to be removed (e.g., mucosal swelling). The Sinus Endoscopy system provides the functional range of a virtual endoscopic system with special focus on a realistic representation. Furthermore, by using direct volume rendering, we avoid time-consuming segmentation steps for the use of individual patient datasets. However, the image quality of the endoscopic view can be adjusted in a way that a standard computer with a modern standard graphics card achieves interactive frame rates with low CPU utilization. Thereby, characteristics of the endoscopic view are systematically used for the optimization of the volume rendering speed. The system design was based on a careful analysis of the endoscopic sinus surgery and the resulting needs for computer support. As a small standalone application it can be instantly used for surgical planning and patient education. First results of a clinical evaluation with ENT surgeons were employed to fine-tune the user interface, in particular to reduce the number of controls by using appropriate default values wherever possible. The system was used for preoperative planning in 102 cases, provides useful information for intervention planning (e.g., anatomic variations of the Rec. Frontalis), and closely resembles the intraoperative situation.",Arno Krüger;Christoph Kubisch;Gero Strauß;Bernhard Preim,Arno Krueger;Christoph Kubisch;Bernhard Preim;Gero Strauss,"Department of Simulation and Graphics, Otto-von-Guericke-University of Magdeburg, Germany;Department of Simulation and Graphics, Otto-von-Guericke-University of Magdeburg, Germany;ENT Department, University Hospital of Leipzig;Department of Simulation and Graphics, Otto-von-Guericke-University of Magdeburg, Germany",10.1109/visual.2003.1250370;10.1109/visual.2003.1250384;10.1109/visual.2004.98;10.1109/visual.2003.1250370,"medical visualization, sinus surgery, operation planning, virtual endoscopy, volume rendering",57.0,35.0,22.0,593.0,,,surgery virtual endoscopy;swelling sinus;provides useful information;frame rates;using appropriate default,0.6810;0.3314;0.1187;0.0552;0.0181,"[np.int64(-1), -1, -1, -1, -1]",27;-1;-1;-1;-1,27,27,Virtual Endoscopy Techniques
InfoVis,2006,Measuring Data Abstraction Quality in Multiresolution Visualizations,10.1109/tvcg.2006.161,http://dx.doi.org/10.1109/TVCG.2006.161,709.0,716.0,J,"Data abstraction techniques are widely used in multiresolution visualization systems to reduce visual clutter and facilitate analysis from overview to detail. However, analysts are usually unaware of how well the abstracted data represent the original dataset, which can impact the reliability of results gleaned from the abstractions. In this paper, we define two data abstraction quality measures for computing the degree to which the abstraction conveys the original dataset: the histogram difference measure and the nearest neighbor measure. They have been integrated within XmdvTool, a public-domain multiresolution visualization system for multivariate data analysis that supports sampling as well as clustering to simplify data. Several interactive operations are provided, including adjusting the data abstraction level, changing selected regions, and setting the acceptable data abstraction quality level. Conducting these operations, analysts can select an optimal data abstraction level. Also, analysts can compare different abstraction methods using the measures to see how well relative data density and outliers are maintained, and then select an abstraction method that meets the requirement of their analytic tasks",Qingguang Cui;Matthew O. Ward;Elke A. Rundensteiner;Jing Yang 0001,Qingguang Cui;Matthew Ward;Elke Rundensteiner;Jing Yang,"Worcester Polytechnic Institute, Worcester, MA, USA;Worcester Polytechnic Institute, Worcester, MA, USA;Worcester Polytechnic Institute, Worcester, MA, USA;University of North Carolina, Charlotte, Charlotte, NC, USA",10.1109/infvis.2004.19;10.1109/visual.2005.1532819;10.1109/infvis.2004.15;10.1109/visual.1995.485139;10.1109/infvis.2000.885088;10.1109/infvis.2004.19,"Metrics, Clustering, Sampling, Multiresolution Visualization",128.0,68.0,28.0,977.0,,,visualization multivariate data;nearest neighbor;unaware abstracted;impact reliability results;regions setting acceptable,0.5716;0.1777;0.1415;0.1315;0.1158,"[np.int64(-1), -1, -1, -1, -1]",93;-1;-1;-1;-1,93,93,Multivariate Data Visualization
Vis,1999,Spiraling Edge: fast surface reconstruction from partially organized sample points,10.1109/visual.1999.809903,http://dx.doi.org/10.1109/VISUAL.1999.809903,317.0,538.0,C,"Many applications produce three-dimensional points that must be further processed to generate a surface. Surface reconstruction algorithms that start with a set of unorganized points are extremely time-consuming. Sometimes however, points are generated such that there is additional information available to the reconstruction algorithm. We present Spiraling Edge, a specialized algorithm for surface reconstruction that is three orders of magnitude faster than algorithms for the general case. In addition to sample point locations, our algorithm starts with normal information and knowledge of each point's neighbors. Our algorithm produces a localized approximation to the surface by creating a star-shaped triangulation between a point and a subset of its nearest neighbors. This surface patch is extended by locally triangulating each of the points along the edge of the patch. As each edge point is triangulated, it is removed from the edge and new edge points along the patch's edge are inserted in its place. The updated edge spirals out over the surface until the edge encounters a surface boundary and stops growing in that direction, or until the edge reduces to a small hole that is filled by the final triangle.",Patricia Crossno;Edward Angel,P. Crossno;E. Angel,"Sandia National Laboratories, USA;University of New Mexico, USA",10.1109/visual.1997.663930;10.1109/visual.1998.745286;10.1109/visual.1997.663930,"Surface reconstruction, advancing front, triangulation",37.0,8.0,6.0,87.0,,,algorithm surface reconstruction;spirals;information knowledge point;patch extended locally;extremely time,0.6886;0.2777;0.1489;0.1463;-0.0510,"[np.int64(-1), -1, -1, -1, -1]",76;-1;-1;-1;-1,76,76,Surface Reconstruction Techniques
