Cluster,Terms
9,construct valuable visualizations;dashboards analyzing data;generates pictorial visualizations;user study visualizations;visualization systems;interactive visualizations provide;visualization comparison diverse
-1,interactive detection tectonic;3d visualization medicine;trajectories clustering using;cells order isosurface;surgery virtual endoscopy;hierarchical point placement;documents collections;wings visualizations;insight chromatin movement;perception scatterplot similarity;particle texture based;visualization unsteady;using conventional debuggers;computation merge trees;domain segmentation;bias important visualization;series average;animated line charts;privacy budget incapacitates;map restaurants;interaction techniques supporting;design proteins loops;infinities algorithm triangulating;theoretical interval sets;paper gpu;gridded data sets;interactively disambiguate author;simulation political power;uncertainty aware visualization;stochastic neighbor embedding;multiple clusters explaining;display complex environments;integral surfaces time;associations spurious confounding;touching actual 4d;3d spacecraft trajectories;journalists use data
8,visual analysis geographically;urban visual analytics
0,investigating cosmological datasets;spacetime temporal coherence;early universe tracing
5,polyphorm interactive visualization;visualization categorical changes
1,recognition area preserves;measure feature correspondence
6,visualization multivariate data;visual cluster analysis;visualizing high dimensional
3,algorithm surface reconstruction;adaptive mesh refinement;approach isosurface extraction;hardware accelerated occlusion
4,volumetric compositing implementation;volume visualization;interactive manipulation volumetric;volume rendering algorithms;direct volume rendering
7,exploring faceted information;data exploration
2,pleasing set visualization;visualizing sets
